11,MEDICINE WHITE,products_images/full_img_2528830.jpg,"Medicine kolleksiyasidan kozok. Yarim golfli model, silliq trikotajdan qilingan.
- To'g'ri mos.
- Uzun yengli.
- dekorativ tugmalar.
- Yeng uzunligi: 63 sm.
- Uzunligi: 60 sm.
- Qo'ltiq kengligi: 54 sm.
- O'lchovlar o'lcham uchun: S.
Murakkab:
20% poliamid, 29% poliester, 51% viskoza","Medicine kolleksiyasidan kozok. Yarim golfli model, silliq trikotajdan qilingan.",36,3,200000
12,MEDICINE GREEN,products_images/full_img_2548677.jpg,"Medicine kolleksiyasidan kozok. Yarim golfli model, silliq trikotajdan qilingan.
- To'g'ri mos.
- Uzun yengli.
- dekorativ tugmalar.
- Yeng uzunligi: 63 sm.
- Uzunligi: 60 sm.
- Qo'ltiq kengligi: 54 sm.
- O'lchovlar o'lcham uchun: S.
Murakkab:
20% poliamid, 29% poliester, 51% viskoza","Medicine kolleksiyasidan kozok. Yarim golfli model, silliq trikotajdan qilingan.",33,3,200000
13,LEVI'S,products_images/full_img_2191484.jpg,"Levi's kollektsiyasidan yuqori belli yupqa jinsi shimlar. Model oqartirilgan denimdan qilingan.
Savdo belgisini himoya qilish siyosatiga ko'ra, Levi's brendi assortimentining taxminan 10% ""bo'sh yorliq"" ga ega (tovar belgisisiz qizil rang, faqat xalqaro tovar belgisi bilan). ""Blank label"" Levi's brendining ro'yxatdan o'tgan savdo belgisi bo'lib, ushbu yorliqli model to'liq original mahsulotdir. Noaniq holatlarda bizning call-markazimizga murojaat qiling.

- Tugma va fermuar bilan mahkamlanadi.
- tikilgan shimlar.
- O'rnatilgan kesish.
- Stretch denim.
- Dekorativ dog'lar bilan denim.
- Cho'ntaklar.
- Bel kengligi: 32 sm.
- sonlarning yarim atrofi: 43 sm.
- Bel balandligi: 25 sm.
- Oyoqning pastki kengligi: 13 sm.
- Yuqori oyoq kengligi: 23 sm.
- Oyoq uzunligi: 103 sm.
- Parametrlar o'lcham uchun ko'rsatilgan: 27/32.
• Kesilgan: oriq
• Toʻq-koʻk rang
Murakkab:
60% paxta, 4% elastan, 24% poliester, 12% viskoza",Levi's kollektsiyasidan yuqori belli yupqa jinsi shimlar.,25,4,430000
14,WRANGLER,products_images/full_img_2645642.jpg,"Wrangler kolleksiyasidan jinsi shimlar. Model yuvilgan denimdan qilingan.
- To'g'ri mos.
- Cho'ntaklar.
- Tugma va fermuar bilan mahkamlanadi.
- Oddiy bel.
- Bel kengligi: 35 sm.
- son atrofi: 42 sm.
- Bel balandligi: 30 sm.
- Oyoqning pastki kengligi: 18,5 sm.
- Yuqori oyoq kengligi: 26 sm.
- Oyoq uzunligi: 97,5 sm.
- Parametrlar o'lcham uchun ko'rsatilgan: 27/32.
Murakkab:
2% elastan, 59% liyosel, 39% polyester",Wrangler kolleksiyasidan jinsi shimlar. Model yuvilgan denimdan qilingan.,20,4,350000
15,DESIGUAL,products_images/full_img_2276570.jpg,"Desigual kolleksiyasidan sportga xos baland bel bilan jinsi shimlar. Model paxta jinsidan qilingan.
- Uslub - Jogger.
- Beldagi elastik tasma.
- Beldagi ip.
- Cho'ntaklar.
- Chiziqli model.
- Bel kengligi: 39 sm.
- dumba: 44 sm.
- Bel balandligi: 31 sm.
- Yuqori oyoq kengligi: 27 sm.
- Oyoqning pastki kengligi: 17 sm.
- Oyoq uzunligi: 96 sm.
- O'lchovlar o'lcham uchun: S.
• Kesish: tekis
• Toʻq-koʻk rang
Murakkab:
100% paxta
G'amxo'rlik ko'rsatmalari:
quruq tozalamang, 30°C da mashinada yuvmang, quritgichda quritmang, oqartirmang, past haroratda (120 darajagacha) dazmollang.",Desigual kolleksiyasidan sportga xos baland bel bilan jinsi shimlar. Model paxta jinsidan qilingan.,12,4,400000
16,TALLY WEIJL,products_images/full_img_2437907.jpg,"Tally Weijl kollektsiyasidan yuqori belli shimlar. Model oqartirilgan denimdan qilingan.
- Nozik uslub.
- Cho'ntaklar.
- Yuqori bel.
- Tugma va fermuar bilan mahkamlanadi.
- Dekorativ dog'lar bilan denim.
- Bel kengligi: 34,5 sm.
- sonning yarim aylanasi: 53,5 sm.
- Bel balandligi: 31,5 sm.
- Oyoqning pastki kengligi: 16,5 sm.
- Yuqori oyoq kengligi: 31 sm.
- Uzunligi: 99,5 sm.
- Parametrlar o'lcham uchun: 38.
• Bel: baland
• Rangli jinsi: jasny niebieski
Murakkab:
100% paxta",Tally Weijl kollektsiyasidan yuqori belli shimlar. Model oqartirilgan denimdan qilingan.,23,4,120000
17,KAPPA - SHIM,products_images/full_img_2408148.jpg,"Kappa kolleksiyasidan shimlar. Model silliq trikotajdan qilingan.
- To'g'ri mos.
- Yumshoq model.
- Beldagi elastik tasma.
- Elastik tasmali shimlar.
- Beldagi ip.
- Cho'ntaklar.
- Bel kengligi: 38 sm.
- sonlarning yarim atrofi: 43 sm.
- Bel balandligi: 31 sm.
- Oyoqning pastki kengligi: 15 sm.
- Yuqori oyoq kengligi: 31 sm.
- Oyoq uzunligi: 104 sm.
- O'lchovlar o'lcham uchun: M.
• Naqsh: melanj
• Material: trikotaj
Murakkab:
75% paxta, 23% poliester, 2% viskoza",Kappa kolleksiyasidan shimlar. Model silliq trikotajdan qilingan.,15,5,115000
18,ADIDAS ORIGINALS,products_images/full_img_2645754.jpg,"Adidas Originals kolleksiyasidan shimlar. Model silliq matodan qilingan.
- To'g'ri mos.
- Fermuarli cho'ntaklar.
- Beldagi elastik tasma.
- Ichki kenglik sozlamalari bilan bel.
- Yupqa cho'zilmaydigan mato.
- Belning kengligi: 39,5 sm.
- son atrofi: 53 sm.
- Bel balandligi: 27 sm.
- Oyoqning pastki kengligi: 13,5 sm.
- Yuqori oyoq kengligi: 33,5 sm.
- Uzunligi: 99 sm.
- O'lchovlar o'lcham uchun: M.
• Naqsh: tekis
• Material: mato
Murakkab:
100% neylon",Adidas Originals kolleksiyasidan shimlar. Model silliq matodan qilingan.,30,5,300000
19,BRAVE SOUL,products_images/full_img_2421127.jpg,"Brave Soul kolleksiyasidan shimlar. Model silliq trikotajdan qilingan.
- Beldagi elastik tasma.
- Cho'ntaklar.
- Beldagi ip.
- Elastik tasmali shimlar.
- Bel kengligi: 41 sm.
- son atrofi: 53 sm.
- Bel balandligi: 30 sm.
- Oyoqning pastki kengligi: 12 sm.
- Yuqori oyoq kengligi: 28 sm.
- Uzunligi: 113 sm.
- O'lchovlar o'lcham uchun: M.
• Naqsh: tekis
• Material: trikotaj
Murakkab:
80% paxta, 20% polyester",Brave Soul kolleksiyasidan shimlar. Model silliq trikotajdan qilingan.,40,5,70000
20,PRODUKT BY JACK & JONES,products_images/full_img_2648854.jpg,"Jack & Jones mahsuloti kolleksiyasidan shimlar. Model silliq trikotajdan qilingan.
- Yumshoq model.
- O'rnatilgan model.
- Cho'ntaklar.
- Pastki o'rindiq chizig'i.
- Beldagi elastik tasma.
- Beldagi ip.
- Yupqa, cho'ziluvchan trikotaj.
- Belning kengligi: 39,5 sm.
- son atrofi: 52 sm.
- Bel balandligi: 28 sm.
- Oyoqning pastki kengligi: 12 sm.
- Yuqoridagi oyoq kengligi: 30 sm.
- Uzunligi: 103 sm.
- O'lchovlar o'lcham uchun: M.
• Naqsh: tekis
• Material: trikotaj
Murakkab:
85% paxta, 15% viskoza",Jack & Jones mahsuloti kolleksiyasidan shimlar. Model silliq trikotajdan qilingan.,36,5,120000
21,GUESS JEANS BROWN,products_images/full_img_2425174.jpg,"Kofta iz kolleksiyasi Guess Jeans. Model vypolnena iz tolstogo, ochen elastichno trikotaja.
- Myagkaya model.
- Oblegushchaya model.
- Kruglyy vyrez.
- Model s printer.
- Otdelka v vide styajki.
- Shirina podmyshkami: 53 sm.
- Bo'yi: 66 sm.
- Balandligi: 66,5 sm.
- Parametry ukazany dlya razmera: M.
• Uzor: chop
• Material: s elastanom
• Kapyushon: bez kapyushona
Sostav:
95% Xlopok, 5% Elastan","Kofta iz kolleksiyasi Guess Jeans. Model vypolnena iz tolstogo, ochen elastichno trikotaja.",20,6,280000
22,GUESS JEANS WHITE,products_images/full_img_2425179.jpg,"Kofta iz kolleksiyasi Guess Jeans. Model vypolnena iz tolstogo, ochen elastichno trikotaja.
- Myagkaya model.
- Oblegushchaya model.
- Kruglyy vyrez.
- Model s printer.
- Otdelka v vide styajki.
- Shirina podmyshkami: 53 sm.
- Bo'yi: 66 sm.
- Balandligi: 66,5 sm.
- Parametry ukazany dlya razmera: M.
• Uzor: chop
• Material: s elastanom
• Kapyushon: bez kapyushona
Sostav:
95% Xlopok, 5% Elastan","Kofta iz kolleksiyasi Guess Jeans. Model vypolnena iz tolstogo, ochen elastichno trikotaja.",10,6,290000
23,KAPPA RED,products_images/full_img_2547639.jpg,"Kofta s kapyushonom iz kolleksiyasii Kappa. Model vypolnena iz tonkogo, legko elastichno trikotaja.
- Myagkaya model.
- Pryamoy fason.
- Karman spedi.
- Kapyushon so styajkoy.
- Tonkiy, elastichnyy trikotaj.
- Dekorativnaya qayma.
- Otdelka v vide styajki.
- Dlina rukava (ot kapyushona): 78 sm.
- Bo'yi: 69 sm.
- Shirina podmyshkami: 58 sm.
- Parametry ukazany dlya razmera: M.
• Uzor: ilovalar
• Kapyushon: s kapyushonom
Sostav:
80% Xlopok, 20% Poliester","Kofta s kapyushonom iz kolleksiyasii Kappa. Model vypolnena iz tonkogo, legko elastichno trikotaja.",15,6,300000
24,KAPPA GREEN,products_images/full_img_2555449.jpg,"Kappa kolleksiyasidan qalpoqli kurtka. Model yupqa, biroz elastik trikotajdan qilingan.
- Yumshoq model.
- To'g'ri mos.
- Old cho'ntak.
- Ipli qalpoq.
- Yupqa, cho'ziluvchan trikotaj.
- dekorativ chegara.
- Birlashtiruvchi shaklida tugatish.
- Yeng uzunligi (kaputdan): 78 sm.
- Uzunligi: 69 sm.
- Qo'ltiq kengligi: 58 sm.
- O'lchovlar o'lcham uchun: M.
• Naqsh: Applikatsiya
• Kaput: qalpoqli
Murakkab:
80% paxta, 20% polyester","Kappa kolleksiyasidan qalpoqli kurtka. Model yupqa, biroz elastik trikotajdan qilingan.",25,6,320000
